ts_iso,cash_usd,positions_market_value_usd,total_equity_usd,unrealized_pnl_usd,starting_equity_usd,total_pnl_usd,pnl_pct,open_positions_count
2025-09-14T14:06:47.157909+00:00,1123.94,8876.06,10000.00,0.00,10000.00,0.00,0.000000,5
2025-09-14T14:13:26.124348+00:00,844.77,9189.96,10034.73,26.71,10000.00,34.73,0.003473,5
2025-09-14T14:20:09.144237+00:00,844.77,9164.55,10009.32,1.30,10000.00,9.32,0.000932,5
2025-09-14T14:26:49.717550+00:00,1994.67,7984.35,9979.03,-17.98,10000.00,-20.97,-0.002097,5
2025-09-14T14:33:53.862708+00:00,1994.67,8004.48,9999.15,2.15,10000.00,-0.85,-0.000085,5
2025-09-14T14:40:35.784070+00:00,2244.42,7706.40,9950.82,-40.08,10000.00,-49.18,-0.004918,5
2025-09-14T14:47:20.268675+00:00,2244.42,7707.92,9952.35,-38.55,10000.00,-47.65,-0.004765,5
2025-09-14T14:59:11.661306+00:00,0.00,9954.62,9954.62,-37.53,10000.00,-45.38,-0.004538,5
2025-09-14T15:11:24.663945+00:00,958.41,8945.13,9903.54,-43.91,10000.00,-96.46,-0.009646,5
2025-09-14T15:23:41.012035+00:00,959.55,8964.27,9923.82,-25.34,10000.00,-76.18,-0.007618,5
2025-09-14T15:30:22.078929+00:00,959.55,8964.21,9923.76,-25.41,10000.00,-76.24,-0.007624,5
