ts_iso,action,symbol,direction,qty,price,notional_usd,equity_usd,stop_price,targets,note
2025-09-14T14:05:04.966530+00:00,OPEN,ETH,long,0.8661008141,4615.46,3997.45,6002.55,4500,4650|4750,open_pos
2025-09-14T14:05:04.966530+00:00,OPEN,WLFI,long,7289.692597,0.2134,1555.62,4446.93,0.2051657072,0.2202619107|0.2271238214,open_pos
2025-09-14T14:05:04.966530+00:00,OPEN,DOGE,long,5246.367401,0.28254,1482.31,2964.62,0.2740638,0.3|0.35,open_pos
2025-09-14T14:05:04.966530+00:00,OPEN,TRX,long,2837.22585,0.3483,988.21,1976.41,0.337851,0.4|0.45,open_pos
2025-09-14T14:05:04.966530+00:00,OPEN,AVAX,long,29.0648754,29.33,852.47,1123.94,28.65,30.05|30.95,open_pos
2025-09-14T14:11:47.166299+00:00,REPLACE_CLOSE,WLFI,long,7289.692597,0.2145,1563.64,2687.58,0.2051657072,0.2202619107|0.2271238214,replaced_by=XRP
2025-09-14T14:11:47.166299+00:00,OPEN,XRP,long,605.3103139,3.0444,1842.81,844.77,3,3.15|3.25,open_pos
2025-09-14T14:25:09.109290+00:00,REPLACE_CLOSE,XRP,long,605.3103139,3.0262,1831.79,2676.56,3,3.15|3.25,replaced_by=WLFI
2025-09-14T14:25:09.109290+00:00,OPEN,WLFI,long,3210.403027,0.2124,681.89,1994.67,0.20406285,0.22|0.23,open_pos
2025-09-14T14:38:53.870024+00:00,REPLACE_CLOSE,AVAX,long,29.0648754,29.12,846.37,2841.04,28.65,30.05|30.95,replaced_by=LINK
2025-09-14T14:38:53.870024+00:00,OPEN,LINK,long,24.92140978,23.94,596.62,2244.42,22.8,24.6|26.4,open_pos
2025-09-14T14:57:20.372295+00:00,REPLACE_CLOSE,LINK,long,24.92140978,23.99,597.86,2842.29,22.8,24.6|26.4,replaced_by=BNB
2025-09-14T14:57:20.372295+00:00,OPEN,BNB,long,3.068297585,926.34,2842.29,0.00,920,940|960,open_pos
2025-09-14T15:09:42.380975+00:00,STOP,DOGE,long,5246.367401,0.27402,1437.61,1437.61,0.2740638,0.3|0.35,stop_hit
2025-09-14T15:09:42.380975+00:00,OPEN,PEPE,short,42900913.02,1.117e-05,479.20,958.41,1.15051e-05,8.5e-06|9e-06,open_pos
2025-09-14T15:21:24.760928+00:00,STOP,PEPE,short,42900913.02,1.121e-05,480.92,1439.33,1.15051e-05,8.5e-06|9e-06,stop_hit
2025-09-14T15:21:24.760928+00:00,OPEN,SUI,long,131.3157463,3.6536,479.78,959.55,3.543992,3.696023588|3.738447176,open_pos
